City_ID,City,Description,Max Temp,Lat,Lng,Hotel Name
357,Julita,overcast clouds,81.86,10.9747,124.9617,VILLA MONTALLA RESORT
358,Kahului,light rain,71.6,20.8947,-156.47,Maui Seaside Hotel
359,Cayenne,few clouds,71.6,4.9333,-52.3333,Hôtel Le Dronmi
363,Anloga,few clouds,82.4,5.7947,0.8973,Pin Drop Hotel
372,San Ignacio,broken clouds,75.2,17.1561,-89.0714,Rainforest Haven Inn
378,Conde,few clouds,77.0,-7.2597,-34.9075,Pousada Beija Flor
381,Beira,moderate rain,73.4,-19.8436,34.8389,Beira Terrace Hotel
387,Kolondieba,overcast clouds,76.21,11.0882,-6.8926,Hotel Dakan
388,Celestun,clear sky,80.31,20.8667,-90.4,Posada Lilia
390,Tamandare,broken clouds,76.84,-8.7597,-35.1047,Pousada 100 Passos
392,Maumere,broken clouds,84.31,-8.6199,122.2111,Sylvia Hotel
397,Madimba,few clouds,75.2,-10.4,40.3333,
400,Senador Pompeu,overcast clouds,72.45,-5.5881,-39.3717,Hotel Central
403,Bocas Del Toro,scattered clouds,77.5,9.3333,-82.25,Hotel Bocas del Toro
407,Amapala,scattered clouds,78.91,13.2922,-87.6539,Restaurante y Casa de Huespedes Veleros
410,Boa Vista,clear sky,80.6,2.8197,-60.6733,Aipana Plaza Hotel
412,Pailon,scattered clouds,73.4,-17.65,-62.75,Alojamiento pailon
414,Port Macquarie,broken clouds,75.2,-31.4333,152.9167,Rydges Port Macquarie
416,Tual,few clouds,83.84,-5.6667,132.75,Grand Vilia Hotel
419,Fomboni,overcast clouds,82.51,-12.28,43.7425,Auberge les abou
422,Kavaratti,overcast clouds,81.0,10.5669,72.642,Hotels in Lakshadweep Islands
430,Hukuntsi,broken clouds,70.41,-24.0,21.75,Entabeni Hotel
439,Pacatuba,scattered clouds,81.0,-3.9842,-38.6203,Pousada das Andreias
443,Meghraj,clear sky,75.51,23.5,73.5,Arvalli Society meghraj
445,Vanimo,scattered clouds,86.36,-2.6741,141.3028,Vahmoneh Lodge Vanimo
447,Tra Vinh,clear sky,86.59,9.9347,106.3453,Hồng Ân
448,Mogadishu,broken clouds,77.13,2.0371,45.3438,Hotel Juba
449,Broken Hill,clear sky,87.8,-31.95,141.4333,Royal Exchange Hotel
451,Bandarbeyla,broken clouds,74.89,9.4942,50.8122,JABIR HOTEL
452,Takoradi,overcast clouds,79.18,4.8845,-1.7554,Raybow International Hotel
459,Pedernales,clear sky,77.43,18.0384,-71.744,Hotel Costa Marina
460,Nabire,scattered clouds,89.04,-3.3667,135.4833,Hotel Nusantara Nabire
462,Robertsport,moderate rain,75.27,6.7533,-11.3686,Kwepunha Retreat
468,Lima,clear sky,73.99,-12.0432,-77.0282,Gran Hotel Bolivar Lima
472,Launceston,clear sky,78.01,-41.45,147.1667,Hotel Grand Chancellor Launceston
475,Itarema,overcast clouds,76.19,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
477,Sinnamary,broken clouds,75.09,5.3833,-52.95,ALETHEIA Appartement Sinnamary
480,Tautira,light rain,86.0,-17.7333,-149.15,Pension Oaoa
485,Labuan,scattered clouds,78.8,5.2767,115.2417,Tiara Labuan Hotel
486,Cururupu,light rain,74.26,-1.8283,-44.8683,Pousada Través'cia
489,Tura,overcast clouds,82.4,25.5198,90.2201,Hotel RIKMAN Continental
494,Mae Sai,few clouds,79.0,20.4335,99.8762,Piyaporn Hill Paradise Hotel
495,Talcher,clear sky,84.29,20.95,85.2167,Hotel Green Park
497,Dicabisagan,broken clouds,72.73,17.0818,122.4157,Nancy Montanes Bernardo
499,Manado,scattered clouds,80.6,1.4869999999999999,124.8455,Aryaduta Hotel
500,Rubiataba,overcast clouds,70.21,-15.1644,-49.8033,Pousada dos anjos
501,Alquizar,few clouds,75.0,22.8058,-82.5842,
512,Bonthe,overcast clouds,76.35,7.5264,-12.505,Bonthe Holiday Village
513,Catia La Mar,scattered clouds,75.2,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
515,Chiang Rai,few clouds,79.0,19.9167,99.9167,Bansaeo Garden and Resort
520,Sorong,overcast clouds,83.62,-0.8833,131.25,The Waigo Hotel
522,Oranjestad,scattered clouds,78.8,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
525,Mareeba,light rain,81.0,-17.0,145.4333,Trinity Plains Tourist Park
527,Itacarambi,moderate rain,70.99,-15.1022,-44.0919,POUSADA CAMALEÃO
533,Acarau,overcast clouds,76.53,-2.8856,-40.12,castelo pizzaria
