City_ID,City,Description,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Kidal,clear sky,2021-02-18 04:08:23,18.4411,1.4078,59.92,28,0,15.9
91,Haines Junction,light snow,2021-02-18 04:08:23,60.7522,-137.5108,32.0,64,26,8.05
92,Buala,moderate rain,2021-02-18 03:59:41,-8.145,159.5921,84.63,73,100,2.68
93,Derzhavinsk,snow,2021-02-18 03:59:43,51.1,66.3167,14.4,96,100,20.92
94,Torbay,overcast clouds,2021-02-18 03:59:19,47.6666,-52.7314,28.0,74,90,20.71
95,Tairua,clear sky,2021-02-18 04:08:23,-37.0167,175.85,70.0,57,7,8.01
96,Brae,broken clouds,2021-02-18 04:08:23,60.3964,-1.353,44.6,93,75,23.02
97,Igarka,overcast clouds,2021-02-18 04:08:23,67.4667,86.5833,-21.37,85,100,4.07
98,Napasar,clear sky,2021-02-18 04:08:24,27.9667,73.55,73.47,21,0,11.7
99,Dancheng,broken clouds,2021-02-18 04:07:08,33.6333,115.1833,54.32,41,65,7.72
100,Cidreira,broken clouds,2021-02-18 03:59:15,-30.1811,-50.2056,69.17,68,55,9.37
101,Kristiansund,overcast clouds,2021-02-18 04:08:24,63.1115,7.732,37.4,48,100,5.75
102,Westport,broken clouds,2021-02-18 04:08:24,41.1415,-73.3579,27.0,52,75,6.31
103,Rio Grande,overcast clouds,2021-02-18 04:05:27,-32.035,-52.0986,66.99,94,89,10.51
104,Jefferson City,overcast clouds,2021-02-18 04:07:24,38.5767,-92.1735,18.0,67,90,5.19
105,Hithadhoo,clear sky,2021-02-18 03:59:11,-0.6,73.0833,82.49,68,2,6.76
106,Kysucke Nove Mesto,mist,2021-02-18 04:08:24,49.3,18.7833,33.01,100,90,1.14
107,Zambezi,overcast clouds,2021-02-18 04:08:24,-13.5432,23.1047,62.67,98,100,2.42
108,Qingdao,clear sky,2021-02-18 04:08:24,36.0986,120.3719,39.0,30,0,8.95
109,Rocafuerte,light rain,2021-02-18 04:08:25,-0.9167,-80.4333,78.8,83,75,4.61
110,Auki,moderate rain,2021-02-18 04:08:25,-8.7676,160.7034,83.97,75,100,2.26
111,Dikson,overcast clouds,2021-02-18 03:59:16,73.5069,80.5464,-27.13,84,100,11.3
112,Pisco,clear sky,2021-02-18 03:59:04,-13.7,-76.2167,69.8,78,0,5.75
113,Arraial Do Cabo,overcast clouds,2021-02-18 03:59:09,-22.9661,-42.0278,77.4,88,100,7.7
114,Karratha,clear sky,2021-02-18 04:08:25,-20.7377,116.8463,89.78,53,6,9.28
115,Port Elizabeth,clear sky,2021-02-18 03:59:10,-33.918,25.5701,68.0,83,0,20.71
116,Saldanha,clear sky,2021-02-18 03:59:30,-33.0117,17.9442,59.0,77,1,1.14
117,Tiksi,overcast clouds,2021-02-18 03:59:19,71.6872,128.8694,-21.75,87,100,4.54
118,Asau,overcast clouds,2021-02-18 03:59:50,46.4333,26.4,30.99,72,99,2.62
119,Barra Do Garcas,clear sky,2021-02-18 04:08:25,-15.89,-52.2567,71.65,91,3,3.38
